station,lat,lng
Los Angeles,-37.46000161,-72.35998661
Hong Kong,22.304980899999997,114.18500929999999
Havana,23.13195884,-82.36418217
Chicago,41.82999066,-87.75005497
New York,40.74997906,-73.98001693
Denver,39.73918805,-104.984016
Aracaju,-10.90002073,-37.11996708
Bordeaux,44.85001304,-0.595013063
Tokyo,35.68501691,139.7514074
Rio de Janeiro,-22.92502317,-43.22502079
Oakland,37.76892071,-122.2211034
Oran,35.71000246,-0.61997278
Albuquerque,35.10497479,-106.64133079999999
Cairo,30.04996035,31.24996822
Newark,40.70042137,-74.17000533
Buffalo,42.87997825,-78.88000208
Newark,40.70042137,-74.17000533
Seattle,47.57000205,-122.33998500000001
Paris,48.86669293,2.333335326
Frankfort,38.2008065,-84.87335718
Osaka,34.75003522,135.46014480000002
Phoenix,33.53997988,-112.06999170000002
Bauru,-22.33002073,-49.08001225
Kano,11.99997683,8.5200378
Buenos Aires,-34.60250161,-58.39753137
Goiania,-16.72002724,-49.30002466
Wadi Halfa,21.80002464,31.34996212
Porto Alegre,-30.05001463,-51.20001205
Denver,39.73918805,-104.984016
Varna,43.21564252,27.89528926
Havana,23.13195884,-82.36418217
Tehran,35.67194277,51.42434403
Rome,41.89595563,12.48325842
Gander,48.94999534,-54.54998845
New Orleans,29.99500246,-90.03996688
Rangoon,16.783354100000004,96.16667761
Da Nang,16.06003908,108.2499711
Oakland,37.76892071,-122.2211034
Oakland,37.76892071,-122.2211034
Shreveport,32.50001752,-93.77002344
Paris,48.86669293,2.333335326
Oakland,37.76892071,-122.2211034
Beirut,33.87197512,35.50970821
Hong Kong,22.304980899999997,114.18500929999999
Tacoma,47.21131594,-122.5150131
San Andres,12.56213711,-81.69032658
Chicago,41.82999066,-87.75005497
Van,38.49543968,43.39997595
Louisville,38.22501691,-85.74870427
Brussels,50.83331708,4.3333166080000005
San Francisco,-31.43003375,-62.08996749
Madrid,40.40002626,-3.6833516860000004
London,42.969998600000004,-81.24998661
Armenia,4.534282653,-75.68112757
Rapid City,44.08055096,-103.2305571
Monterey,36.600258200000006,-121.8935781
Istanbul,41.10499615,29.01000159
Cairo,30.04996035,31.24996822
Cordoba,18.92038129,-96.91998621
Belo Horizonte,-19.91502602,-43.91500452
Porto Alegre,-30.05001463,-51.20001205
London,42.969998600000004,-81.24998661
Bangkok,13.74999921,100.5166447
Minneapolis,44.97997927,-93.25178634
Amsterdam,52.34996869,4.9166401760000005
Lima,-12.04801268,-77.05006209
Tacoma,47.21131594,-122.5150131
Glasgow,55.87440472,-4.250707236
Cleveland,41.469986799999994,-81.69499821
Lincoln,-34.88000405,-61.53994938
Delhi,28.6699929,77.23000403
Calabar,4.960406513,8.330023557999999
Rome,41.89595563,12.48325842
Lusaka,-15.41664427,28.28332759
Guadalajara,20.67001609,-103.3300342
Tulsa,36.12000327,-95.93002079
Honolulu,21.30687644,-157.85799790000002
Macon,32.85038373,-83.63004806
Jakarta,-6.174417705,106.82943759999999
Douala,4.060409769,9.709991006000001
Asuncion,-25.29640298,-57.64150517
Oaxaca,17.08268984,-96.66994979
Chicago,41.82999066,-87.75005497
St. Louis,38.63501772,-90.23998051
Yellowknife,62.44201418,-114.3969814
Tripoli,37.50914329,22.37939856
San Francisco,-31.43003375,-62.08996749
Portland,-38.33999957,141.59000319999998
Newark,40.70042137,-74.17000533
Belem,-1.450003236,-48.48002303
Jacksonville,34.75432436,-77.43055567
Kosice,48.73044802,21.25001013
Glasgow,55.87440472,-4.250707236
Newark,40.70042137,-74.17000533
Portland,-38.33999957,141.59000319999998
Seward,60.12616070000001,-149.46998269999997
Parintins,-2.6100357880000002,-56.74000981
Tripoli,37.50914329,22.37939856
Tripoli,37.50914329,22.37939856
Kansas City,39.11358052,-94.63014638
Rio Cuarto,-33.13003335,-64.34998458
Mandalay,21.96998842,96.08502885
Hong Kong,22.304980899999997,114.18500929999999
San Francisco,-31.43003375,-62.08996749
Oslo,59.91669029,10.74997921
Cali,3.399959126,-76.49996647
Paris,48.86669293,2.333335326
Quibdo,5.6904136339999996,-76.66000838
Toronto,43.69997988,-79.42002079
Milan,45.4699752,9.20500891
Mendoza,-32.88333006,-68.81661117
Managua,12.15301658,-86.26849166
Paris,48.86669293,2.333335326
Seattle,47.57000205,-122.33998500000001
Manchester,53.50041526,-2.2479871030000003
Manila,14.60415895,120.98221720000001
Oruro,-17.97995034,-67.12999577
Istanbul,41.10499615,29.01000159
Moscow,55.75216412,37.61552283
Vancouver,49.27341658,-123.1216442
Barinas,8.59997764,-70.25001205
Montevideo,-34.85804157,-56.17105229
Belfast,54.60001223,-5.960034425
San Carlos,-17.39998574,-63.72999658
Corrientes,-27.48996417,-58.80998682
Manchester,53.50041526,-2.2479871030000003
Cairo,30.04996035,31.24996822
Esmeraldas,0.9304199409999999,-79.6699797
Chicago,41.82999066,-87.75005497
Quito,-0.21498818100000003,-78.50005111
Barcelona,41.38329958,2.1833703190000002
Baltimore,39.29999005,-76.61998499
Singapore,1.293033466,103.85582070000001
Mexico City,19.44244244,-99.1309882
Curitiba,-25.420013,-49.3199976
Nagoya,35.15499758,136.91499140000002
New York,40.74997906,-73.98001693
Rome,41.89595563,12.48325842
Belgrade,44.81864545,20.46799068
La Paz,-33.46613686,-67.54999597
Madrid,40.40002626,-3.6833516860000004
Paris,48.86669293,2.333335326
Sao Paulo,-23.55867959,-46.62501998
Knoxville,35.97001243,-83.92003036
Rio de Janeiro,-22.92502317,-43.22502079
Mar del Plata,-38.00002033,-57.57998438
Fargo,46.8772278,-96.7894257
Istanbul,41.10499615,29.01000159
Puerto Suarez,-18.94955524,-57.8499679
Tehran,35.67194277,51.42434403
Atlanta,33.83001385,-84.39994938
Madrid,40.40002626,-3.6833516860000004
Pucallpa,-8.368909079,-74.53499597
Bahia Blanca,-38.74002684,-62.2650214
Lima,-12.04801268,-77.05006209
Paris,48.86669293,2.333335326
London,42.969998600000004,-81.24998661
Merida,20.96663881,-89.61663355
Miami,25.7876107,-80.22410608
Rio de Janeiro,-22.92502317,-43.22502079
Bamako,12.65001467,-8.000039105
Anchorage,61.21996991,-149.9002149
Dallas,32.82002382,-96.84001693
Paso Robles,35.6265967,-120.68998229999998
Thessaloniki,40.69610638,22.88500077
New Orleans,29.99500246,-90.03996688
Los Angeles,-37.46000161,-72.35998661
Tashkent,41.31170188,69.29493282
Sao Paulo,-23.55867959,-46.62501998
Miami,25.7876107,-80.22410608
Ankara,39.92723859,32.86439164
Rio de Janeiro,-22.92502317,-43.22502079
Nagoya,35.15499758,136.91499140000002
Miami,25.7876107,-80.22410608
Medellin,6.2750032739999995,-75.57501001
Bogota,4.596423563,-74.08334396
Hickory,35.733489399999996,-81.34140222
Bunia,1.5604073269999998,30.24000403
Calabozo,8.930396748,-67.43997685
Khartoum,15.58807823,32.53417924
Buenos Aires,-34.60250161,-58.39753137
Santiago,-33.45001382,-70.66704085
Anchorage,61.21996991,-149.9002149
Rio de Janeiro,-22.92502317,-43.22502079
Sharjah,25.37138287,55.40647823
Quito,-0.21498818100000003,-78.50005111
Moscow,55.75216412,37.61552283
Dakar,14.71583173,-17.47313013
Moscow,55.75216412,37.61552283
Mexico City,19.44244244,-99.1309882
Rome,41.89595563,12.48325842
Philadelphia,39.99997316,-75.16999597
Genoa,44.40998822,8.930038613999999
Ogden,41.23237856,-111.9680341
Missoula,46.87224103,-113.99305259999998
Kansas City,39.11358052,-94.63014638
Quito,-0.21498818100000003,-78.50005111
Manila,14.60415895,120.98221720000001
Manaus,-3.100031719,-60.00001754
Lima,-12.04801268,-77.05006209
Santiago,-33.45001382,-70.66704085
Davao,7.110016906,125.6299955
Vaasa,63.09998435,21.60001461
Mexico City,19.44244244,-99.1309882
Bandung,-6.950029278,107.5700126
Balikpapan,-1.250015443,116.83001580000001
Santa Maria,-29.68331867,-53.80000838
Cairo,30.04996035,31.24996822
Kano,11.99997683,8.5200378
Buenos Aires,-34.60250161,-58.39753137
Denver,39.73918805,-104.984016
Las Vegas,35.59701194,-105.2225027
Asmara,15.33333925,38.93332353
Gander,48.94999534,-54.54998845
Rabat,34.02529909,-6.83613082
Tampa,27.94698793,-82.45862085
Ankara,39.92723859,32.86439164
Perpignan,42.69998924,2.899967406
Recife,-8.075645326,-34.91560551
Managua,12.15301658,-86.26849166
Trinidad,-14.83337238,-64.89997685
Canberra,-35.28302855,149.1290262
Nicosia,35.16667645,33.36663489
Pucallpa,-8.368909079,-74.53499597
Cumana,10.44999392,-64.18002079
Bogota,4.596423563,-74.08334396
Adana,36.99498863,35.32000403
Rome,41.89595563,12.48325842
Agana,13.4700163,144.75001699999999
Havana,23.13195884,-82.36418217
Villavicencio,4.153323994,-73.63499923
Seville,37.40501528,-5.980007366000001
Beirut,33.87197512,35.50970821
Kansas City,39.11358052,-94.63014638
Sochi,43.59001243,39.72996741
Bangkok,13.74999921,100.5166447
Lisbon,38.72272288,-9.144866305
Brno,49.20039349,16.60998328
Frankfurt,50.09997683,8.67501542
Da Nang,16.06003908,108.2499711
Paris,48.86669293,2.333335326
Rio de Janeiro,-22.92502317,-43.22502079
Lima,-12.04801268,-77.05006209
Barrancabermeja,7.0899922879999995,-73.84999903
Manaus,-3.100031719,-60.00001754
Warsaw,52.25000063,20.99999955
Brasilia,-15.78334023,-47.91605229
Ajaccio,41.92706484,8.728293822000001
Kansas City,39.11358052,-94.63014638
Ankara,39.92723859,32.86439164
Chicago,41.82999066,-87.75005497
Davao,7.110016906,125.6299955
Nashville,36.16997438,-86.77998499
Beirut,33.87197512,35.50970821
La Paz,-33.46613686,-67.54999597
Nice,43.71501772,7.265023965
Rome,41.89595563,12.48325842
Lagos,6.4432616529999995,3.391531071
Rio de Janeiro,-22.92502317,-43.22502079
Alexandria,31.20001935,29.94999589
Srinagar,34.09997154,74.81500932
Newark,40.70042137,-74.17000533
Tauranga,-37.69642129,176.1536299
Irkutsk,52.31997052,104.24504759999999
Lyon,45.77000856,4.830030475
Moscow,55.75216412,37.61552283
Perpignan,42.69998924,2.899967406
Mariehamn,60.09699618,19.94900447
Philadelphia,39.99997316,-75.16999597
Luxor,25.70001914,32.6500378
Buenos Aires,-34.60250161,-58.39753137
Ankara,39.92723859,32.86439164
West Palm Beach,26.74501996,-80.12362126
Akron,41.07039878,-81.51999597
Iligan,8.171244118999999,124.2153531
New Orleans,29.99500246,-90.03996688
Oita,33.24322797,131.59789990000002
Innsbruck,47.28040733,11.4099906
Bogota,4.596423563,-74.08334396
Boston,42.32996014,-71.07001367
Sidney,41.13980023,-102.9782727
San Francisco,-31.43003375,-62.08996749
Lima,-12.04801268,-77.05006209
Tainan,23.00000307,120.20004270000001
Athens,37.98332623,23.73332108
Huntsville,30.72376935,-95.55058659
Jacksonville,34.75432436,-77.43055567
Rio de Janeiro,-22.92502317,-43.22502079
Addis Ababa,9.033310363,38.70000443
Las Vegas,35.59701194,-105.2225027
New York,40.74997906,-73.98001693
Denver,39.73918805,-104.984016
Buenos Aires,-34.60250161,-58.39753137
Tokyo,35.68501691,139.7514074
Naga,13.61915448,123.1813594
Bucaramanga,7.1300932,-73.12588302
Ogden,41.23237856,-111.9680341
London,42.969998600000004,-81.24998661
Kansas City,39.11358052,-94.63014638
Whitehorse,60.71671897,-135.0499844
Da Nang,16.06003908,108.2499711
Miami,25.7876107,-80.22410608
Porto Velho,-8.750022767,-63.90001205
Wroclaw,51.11043194,17.03000932
Da Nang,16.06003908,108.2499711
Bacolod,10.63168825,122.98168170000001
Bucaramanga,7.1300932,-73.12588302
Tacloban,11.25043601,125.0000081
London,42.969998600000004,-81.24998661
Obock,11.97344098,43.28556433
San Vicente del Caguan,2.070376199,-74.64002832
Salt Lake City,40.7750163,-111.93005190000001
Newark,40.70042137,-74.17000533
Legazpi,13.16998293,123.75000690000002
Paris,48.86669293,2.333335326
Bremen,53.08000165,8.80002071
Delhi,28.6699929,77.23000403
Milan,45.4699752,9.20500891
Tokyo,35.68501691,139.7514074
Hong Kong,22.304980899999997,114.18500929999999
Frankfurt,50.09997683,8.67501542
Cairo,30.04996035,31.24996822
Ardmore,34.1810777,-97.12940495
Kansas City,39.11358052,-94.63014638
Cochabamba,-17.41001097,-66.16997685
Omaha,41.24000083,-96.00999007
Ljubljana,46.05528831,14.51496903
Longreach,-23.44959064,144.25004760000002
Barranquilla,10.95998863,-74.79996688
Portland,-38.33999957,141.59000319999998
Matsuyama,33.84554262,132.765839
Berlin,52.52181866,13.40154862
Brazzaville,-4.2591857719999995,15.28468949
Bogota,4.596423563,-74.08334396
Cali,3.399959126,-76.49996647
Frankfurt,50.09997683,8.67501542
Curitiba,-25.420013,-49.3199976
Mexico City,19.44244244,-99.1309882
Tegucigalpa,14.1020449,-87.21752934
Monrovia,6.31055666,-10.80475163
Dayton,39.750376,-84.19998743
East London,-32.97004311,27.87001949
Tamanrasset,22.78500327,5.5228047270000005
Dublin,53.33306114,-6.248905682
Mazatlan,23.22110069,-106.4200007
Hong Kong,22.304980899999997,114.18500929999999
Havana,23.13195884,-82.36418217
Nicosia,35.16667645,33.36663489
London,42.969998600000004,-81.24998661
Los Angeles,-37.46000161,-72.35998661
Cincinnati,39.16188479,-84.45692265
Tingo Maria,-9.289628073,-75.9899976
Scottsbluff,41.86750775,-103.6606859
Chiang Mai,18.7999752,98.98004594
Beirut,33.87197512,35.50970821
Vancouver,49.27341658,-123.1216442
Taipei,25.03583333,121.56833329999999
Petropavlovsk,54.87999514,69.22000199
London,42.969998600000004,-81.24998661
St. Louis,38.63501772,-90.23998051
Mexico City,19.44244244,-99.1309882
Luanda,-8.838286114,13.23442704
Karachi,24.86999229,66.99000891
Lagos,6.4432616529999995,3.391531071
Milan,45.4699752,9.20500891
Innsbruck,47.28040733,11.4099906
Santa Maria,-29.68331867,-53.80000838
Damascus,33.500034,36.29999589
Nice,43.71501772,7.265023965
Port Harcourt,4.810002257,7.010000772000001
Montpelier,44.25997154,-72.57581323
San Francisco,-31.43003375,-62.08996749
Santa Ana,-13.7600012,-65.57996118
Bradford,53.80003522,-1.749981325
Prudhoe Bay,70.29218101,-148.66935980000002
Anchorage,61.21996991,-149.9002149
Milwaukee,43.05265505,-87.91996708
Bethel,60.79330345,-161.7557961
Port Hedland,-20.31040241,118.6060315
Tampico,22.30001996,-97.87000574
Hualien,23.98374147,121.60000890000002
London,42.969998600000004,-81.24998661
Detroit,42.32996014,-83.08005579
Seattle,47.57000205,-122.33998500000001
Da Nang,16.06003908,108.2499711
Milwaukee,43.05265505,-87.91996708
Taipei,25.03583333,121.56833329999999
Miami,25.7876107,-80.22410608
Aswan,24.08750775,32.8989115
New Orleans,29.99500246,-90.03996688
Khulna,22.839987,89.56000077
Allentown,40.59998822,-75.50002751
Reggio di Calabria,38.11499778,15.64136023
Monterey,36.600258200000006,-121.8935781
Newark,40.70042137,-74.17000533
Hassi Messaoud,31.70234011,6.0544518620000005
Villavicencio,4.153323994,-73.63499923
Campbell River,50.01708783,-125.2499882
Mexico City,19.44244244,-99.1309882
La Paz,-33.46613686,-67.54999597
Lagos,6.4432616529999995,3.391531071
Portland,-38.33999957,141.59000319999998
Pago Pago,-14.2766105,-170.70664509999997
Juanjui,-7.169602437999999,-76.73997766
Chicago,41.82999066,-87.75005497
Delhi,28.6699929,77.23000403
Detroit,42.32996014,-83.08005579
Rosario,-32.95112954,-60.66630762
Oradea,47.04998212,21.91999508
San Juan,-31.55002643,-68.51998845
Newark,40.70042137,-74.17000533
Las Vegas,35.59701194,-105.2225027
Casablanca,33.59997622,-7.616367433
Bacolod,10.63168825,122.98168170000001
Barcelona,41.38329958,2.1833703190000002
Los Angeles,-37.46000161,-72.35998661
Sidney,41.13980023,-102.9782727
San Diego,32.82002382,-117.1799899
Lahore,31.55997154,74.35002478
Ponce,18.00038576,-66.61664209
Cranbrook,49.516679100000005,-115.7666653
Logan,41.73593955,-111.8335979
Huntington,38.41957867,-82.44528833
Newark,40.70042137,-74.17000533
Sofia,42.68334943,23.31665401
Orange,-33.27999835,149.0999841
Maiquetia,10.60039817,-66.9699797
San Borja,-14.81962645,-66.84996118
Boston,42.32996014,-71.07001367
Rijeka,45.32998374,14.45001176
Salt Lake City,40.7750163,-111.93005190000001
Arica,-18.50002195,-70.28998377
Hakodate,41.79497988,140.73997759999997
Manila,14.60415895,120.98221720000001
Irkutsk,52.31997052,104.24504759999999
Tokyo,35.68501691,139.7514074
Los Angeles,-37.46000161,-72.35998661
Vladivostok,43.13001467,131.9100256
Seattle,47.57000205,-122.33998500000001
Malaga,36.7204059,-4.419999228
Columbus,32.47043276,-84.98001734
Kiev,50.43336733,30.51662797
Salzburg,47.81047833,13.0400203
Grand Canyon,36.05478762,-112.1385922
Hot Springs,34.50395205,-93.05500248
Peoria,40.69998212,-89.67004114
Padang,-0.960007305,100.36001340000001
Hong Kong,22.304980899999997,114.18500929999999
Raleigh,35.81878135,-78.64469344
Pucallpa,-8.368909079,-74.53499597
Hot Springs,34.50395205,-93.05500248
Ankara,39.92723859,32.86439164
San Andres,12.56213711,-81.69032658
Buenaventura,3.872402425,-77.05045329
Belgrade,44.81864545,20.46799068
Valledupar,10.47999208,-73.25000981
Vientiane,17.96669273,102.59998
Detroit,42.32996014,-83.08005579
Dubai,25.22999615,55.27997432
Aden,12.77972251,45.00949011
Rio de Janeiro,-22.92502317,-43.22502079
Foggia,41.46047833,15.55996985
Rome,41.89595563,12.48325842
Palermo,38.12502301,13.35002722
Vung Tau,10.35537437,107.08497759999999
Lobito,-12.37000853,13.54123002
Valdez,1.2671038079999999,-78.98549846
Delhi,28.6699929,77.23000403
Hong Kong,22.304980899999997,114.18500929999999
